month,ipca_12m,ipca_mom,ipca_yoy,month_key
2002-03-01,7.75,0.031957390146471365,0.20341614906832284,2002-03
2002-04-01,7.98,0.029677419354838808,0.20726172465960668,2002-04
2002-05-01,7.77,-0.026315789473684292,0.10369318181818166,2002-05
2002-06-01,7.66,-0.014157014157014092,0.042176870748299455,2002-06
2002-07-01,7.51,-0.019582245430809442,0.0652482269503547,2002-07
2002-08-01,7.46,-0.0066577896138482195,0.1638065522620904,2002-08
2002-09-01,7.93,0.06300268096514738,0.22755417956656343,2002-09
2002-10-01,8.45,0.06557377049180313,0.17524339360222507,2002-10
2002-11-01,10.93,0.29349112426035506,0.43626806833114307,2002-11
2002-12-01,12.53,0.1463860933211345,0.633637548891786,2002-12
2003-01-01,14.47,0.15482841181165208,0.8989501312335959,2003-01
2003-02-01,15.85,0.0953697304768486,1.1105193075898803,2003-02
2003-03-01,16.57,0.045425867507886464,1.1380645161290324,2003-03
2003-04-01,16.77,0.012070006035002967,1.1015037593984962,2003-04
2003-05-01,17.24,0.02802623732856291,1.2187902187902186,2003-05
2003-06-01,16.57,-0.03886310904872381,1.1631853785900783,2003-06
2003-07-01,15.43,-0.06879903439951718,1.0545938748335555,2003-07
2003-08-01,15.07,-0.02333117303953336,1.020107238605898,2003-08
2003-09-01,15.14,0.004644990046450026,0.909205548549811,2003-09
2003-10-01,13.98,-0.07661822985468958,0.6544378698224853,2003-10
2003-11-01,11.02,-0.2117310443490702,0.008234217749313766,2003-11
2003-12-01,9.3,-0.1560798548094373,-0.2577813248204309,2003-12
2004-01-01,7.71,-0.17096774193548392,-0.4671734623358673,2004-01
2004-02-01,6.69,-0.13229571984435795,-0.5779179810725552,2004-02
2004-03-01,5.89,-0.11958146487294474,-0.6445383222691612,2004-03
2004-04-01,5.26,-0.1069609507640068,-0.6863446630888491,2004-04
2004-05-01,5.15,-0.02091254752851701,-0.701276102088167,2004-05
2004-06-01,6.06,0.17669902912621338,-0.6342788171394086,2004-06
2004-07-01,6.81,0.12376237623762387,-0.5586519766688269,2004-07
2004-08-01,7.18,0.05433186490455211,-0.5235567352355674,2004-08
2004-09-01,6.7,-0.06685236768802227,-0.5574636723910171,2004-09
2004-10-01,6.86,0.023880597014925398,-0.5092989985693848,2004-10
2004-11-01,7.24,0.055393586005830775,-0.3430127041742286,2004-11
2004-12-01,7.6,0.04972375690607733,-0.18279569892473124,2004-12
2005-01-01,7.41,-0.02499999999999991,-0.03891050583657585,2005-01
2005-02-01,7.39,-0.0026990553306343035,0.10463378176382654,2005-02
2005-03-01,7.54,0.020297699594046037,0.2801358234295417,2005-03
2005-04-01,8.07,0.07029177718832891,0.5342205323193918,2005-04
2005-05-01,8.05,-0.0024783147459727095,0.5631067961165048,2005-05
2005-06-01,7.27,-0.09689440993788834,0.1996699669966997,2005-06
2005-07-01,6.57,-0.09628610729023379,-0.03524229074889862,2005-07
2005-08-01,6.02,-0.08371385083713856,-0.1615598885793872,2005-08
2005-09-01,6.04,0.0033222591362127574,-0.09850746268656718,2005-09
2005-10-01,6.36,0.052980132450331174,-0.07288629737609331,2005-10
2005-11-01,6.22,-0.022012578616352307,-0.14088397790055252,2005-11
2005-12-01,5.69,-0.08520900321543401,-0.25131578947368416,2005-12
2006-01-01,5.7,0.0017574692442881013,-0.23076923076923073,2006-01
2006-02-01,5.51,-0.03333333333333344,-0.25439783491204326,2006-02
2006-03-01,5.32,-0.03448275862068961,-0.29442970822281167,2006-03
2006-04-01,4.63,-0.12969924812030087,-0.42627013630731103,2006-04
2006-05-01,4.23,-0.08639308855291561,-0.47453416149068317,2006-05
2006-06-01,4.03,-0.047281323877068626,-0.4456671251719394,2006-06
2006-07-01,3.97,-0.01488833746898266,-0.395738203957382,2006-07
2006-08-01,3.84,-0.032745591939546737,-0.362126245847176,2006-08
2006-09-01,3.7,-0.03645833333333326,-0.38741721854304634,2006-09
2006-10-01,3.26,-0.11891891891891904,-0.48742138364779886,2006-10
2006-11-01,3.02,-0.0736196319018404,-0.5144694533762058,2006-11
2006-12-01,3.14,0.039735099337748325,-0.44815465729349735,2006-12
2007-01-01,2.99,-0.047770700636942665,-0.475438596491228,2007-01
2007-02-01,3.02,0.010033444816053505,-0.4519056261343013,2007-02
2007-03-01,2.96,-0.019867549668874163,-0.443609022556391,2007-03
2007-04-01,3.0,0.013513513513513598,-0.3520518358531317,2007-04
2007-05-01,3.18,0.06000000000000005,-0.24822695035460995,2007-05
2007-06-01,3.69,0.1603773584905659,-0.08436724565756826,2007-06
2007-07-01,3.74,0.013550135501354976,-0.057934508816120944,2007-07
2007-08-01,4.18,0.11764705882352922,0.08854166666666674,2007-08
2007-09-01,4.15,-0.007177033492822837,0.12162162162162171,2007-09
2007-10-01,4.12,-0.0072289156626507145,0.2638036809815951,2007-10
2007-11-01,4.19,0.016990291262136026,0.38741721854304645,2007-11
2007-12-01,4.46,0.06443914081145574,0.42038216560509545,2007-12
2008-01-01,4.56,0.022421524663676973,0.5250836120401334,2008-01
2008-02-01,4.61,0.010964912280701844,0.5264900662251657,2008-02
2008-03-01,4.73,0.026030368763557465,0.597972972972973,2008-03
2008-04-01,5.04,0.06553911205073981,0.6799999999999999,2008-04
2008-05-01,5.58,0.1071428571428572,0.7547169811320753,2008-05
2008-06-01,6.06,0.08602150537634401,0.6422764227642275,2008-06
2008-07-01,6.37,0.051155115511551275,0.7032085561497325,2008-07
2008-08-01,6.17,-0.031397174254317095,0.47607655502392343,2008-08
2008-09-01,6.25,0.01296596434359798,0.506024096385542,2008-09
2008-10-01,6.41,0.025600000000000067,0.5558252427184467,2008-10
2008-11-01,6.39,-0.0031201248049922414,0.5250596658711215,2008-11
2008-12-01,5.9,-0.07668231611893572,0.3228699551569507,2008-12
2009-01-01,5.84,-0.01016949152542379,0.2807017543859649,2009-01
2009-02-01,5.9,0.010273972602739878,0.27982646420824286,2009-02
2009-03-01,5.61,-0.04915254237288136,0.18604651162790686,2009-03
2009-04-01,5.53,-0.014260249554367221,0.09722222222222232,2009-04
2009-05-01,5.2,-0.05967450271247743,-0.06810035842293904,2009-05
2009-06-01,4.8,-0.07692307692307698,-0.20792079207920788,2009-06
2009-07-01,4.5,-0.0625,-0.293563579277865,2009-07
2009-08-01,4.36,-0.03111111111111109,-0.293354943273906,2009-08
2009-09-01,4.34,-0.004587155963302836,-0.3056,2009-09
2009-10-01,4.17,-0.03917050691244239,-0.3494539781591264,2009-10
2009-11-01,4.22,0.011990407673860837,-0.3395931142410016,2009-11
2009-12-01,4.31,0.021327014218009532,-0.2694915254237289,2009-12
2010-01-01,4.59,0.06496519721577743,-0.21404109589041098,2010-01
2010-02-01,4.83,0.05228758169934644,-0.18135593220338986,2010-02
2010-03-01,5.17,0.07039337474120089,-0.07843137254901966,2010-03
2010-04-01,5.26,0.01740812379110257,-0.048824593128390714,2010-04
2010-05-01,5.22,-0.0076045627376425395,0.0038461538461538325,2010-05
2010-06-01,4.84,-0.07279693486590033,0.008333333333333304,2010-06
2010-07-01,4.6,-0.04958677685950419,0.022222222222222143,2010-07
2010-08-01,4.49,-0.02391304347826073,0.029816513761467878,2010-08
2010-09-01,4.7,0.04677060133630295,0.08294930875576045,2010-09
2010-10-01,5.2,0.1063829787234043,0.2470023980815348,2010-10
2010-11-01,5.63,0.08269230769230762,0.3341232227488151,2010-11
2010-12-01,5.91,0.04973357015985802,0.3712296983758703,2010-12
2011-01-01,5.99,0.013536379018612488,0.30501089324618746,2011-01
2011-02-01,6.01,0.0033388981636059967,0.24430641821946164,2011-02
2011-03-01,6.3,0.048252911813643884,0.2185686653771759,2011-03
2011-04-01,6.51,0.03333333333333344,0.2376425855513309,2011-04
2011-05-01,6.55,0.006144393241167334,0.25478927203065127,2011-05
2011-06-01,6.71,0.02442748091603053,0.38636363636363646,2011-06
2011-07-01,6.87,0.023845007451564815,0.49347826086956537,2011-07
2011-08-01,7.23,0.05240174672489095,0.6102449888641426,2011-08
2011-09-01,7.31,0.011065006915629283,0.5553191489361702,2011-09
2011-10-01,6.97,-0.046511627906976716,0.3403846153846153,2011-10
2011-11-01,6.64,-0.04734576757532283,0.17939609236234455,2011-11
2011-12-01,6.5,-0.02108433734939752,0.09983079526226724,2011-12
2012-01-01,6.22,-0.043076923076923124,0.03839732888146896,2012-01
2012-02-01,5.84,-0.06109324758842438,-0.028286189683860208,2012-02
2012-03-01,5.24,-0.10273972602739723,-0.1682539682539682,2012-03
2012-04-01,5.1,-0.026717557251908497,-0.21658986175115214,2012-04
2012-05-01,4.99,-0.021568627450980316,-0.23816793893129762,2012-05
2012-06-01,4.92,-0.014028056112224463,-0.2667660208643815,2012-06
2012-07-01,5.2,0.05691056910569103,-0.24308588064046577,2012-07
2012-08-01,5.24,0.007692307692307665,-0.2752420470262794,2012-08
2012-09-01,5.28,0.007633587786259444,-0.2777017783857728,2012-09
2012-10-01,5.45,0.032196969696969724,-0.21807747489239593,2012-10
2012-11-01,5.53,0.014678899082568808,-0.16716867469879515,2012-11
2012-12-01,5.84,0.05605786618444841,-0.10153846153846158,2012-12
2013-01-01,6.15,0.05308219178082196,-0.01125401929260439,2013-01
2013-02-01,6.31,0.0260162601626015,0.08047945205479445,2013-02
2013-03-01,6.59,0.044374009508716394,0.25763358778625944,2013-03
2013-04-01,6.49,-0.015174506828528056,0.2725490196078433,2013-04
2013-05-01,6.5,0.0015408320493066618,0.30260521042084165,2013-05
2013-06-01,6.7,0.030769230769230882,0.3617886178861789,2013-06
2013-07-01,6.27,-0.06417910447761199,0.2057692307692307,2013-07
2013-08-01,6.09,-0.028708133971291794,0.1622137404580153,2013-08
2013-09-01,5.86,-0.0377668308702791,0.10984848484848486,2013-09
2013-10-01,5.84,-0.0034129692832765013,0.07155963302752277,2013-10
2013-11-01,5.77,-0.011986301369863117,0.04339963833634708,2013-11
2013-12-01,5.91,0.024263431542461023,0.011986301369863117,2013-12
2014-01-01,5.59,-0.05414551607445017,-0.09105691056910581,2014-01
2014-02-01,5.68,0.01610017889087656,-0.09984152139461167,2014-02
2014-03-01,6.15,0.08274647887323949,-0.06676783004552345,2014-03
2014-04-01,6.28,0.021138211382113692,-0.03235747303543912,2014-04
2014-05-01,6.37,0.014331210191082855,-0.020000000000000018,2014-05
2014-06-01,6.52,0.023547880690737655,-0.0268656716417911,2014-06
2014-07-01,6.5,-0.0030674846625766694,0.036682615629984205,2014-07
2014-08-01,6.51,0.0015384615384614886,0.06896551724137923,2014-08
2014-09-01,6.75,0.03686635944700467,0.15187713310580198,2014-09
2014-10-01,6.59,-0.02370370370370367,0.12842465753424648,2014-10
