month,ipca_12m,ipca_mom,ipca_yoy,month_key,usdbrl_avg,mom,yoy
2005-12-01,5.69,-0.08520900321543401,-0.25131578947368416,2005-12,2.2846818181818183,0.03377630588738101,-0.1592276742590426
2006-01-01,5.7,0.0017574692442881013,-0.23076923076923073,2006-01,2.2730681818181817,-0.005083262041660985,-0.15569122679282976
2006-02-01,5.51,-0.03333333333333344,-0.25439783491204326,2006-02,2.161122222222222,-0.049248834896987614,-0.1678514205280801
2006-03-01,5.32,-0.03448275862068961,-0.29442970822281167,2006-03,2.1511608695652176,-0.004609342569603325,-0.20443361815207484
2006-04-01,4.63,-0.12969924812030087,-0.42627013630731103,2006-04,2.128488888888889,-0.01053941664572522,-0.17448596060747867
2006-05-01,4.23,-0.08639308855291561,-0.47453416149068317,2006-05,2.1773,0.022932283727631342,-0.11203616851451581
2006-06-01,4.03,-0.047281323877068626,-0.4456671251719394,2006-06,2.247490476190476,0.03223739318903052,-0.06848021981679497
2006-07-01,3.97,-0.01488833746898266,-0.395738203957382,2006-07,2.1884809523809525,-0.02625573920542046,-0.0776448063194779
2006-08-01,3.84,-0.032745591939546737,-0.362126245847176,2006-08,2.155082608695652,-0.015260970697033027,-0.08676378737602752
2006-09-01,3.7,-0.03645833333333326,-0.38741721854304634,2006-09,2.167945,0.00596839826577833,-0.054788978902042484
2006-10-01,3.26,-0.11891891891891904,-0.48742138364779886,2006-10,2.147480952380952,-0.009439375823209417,-0.0479547126633334
2006-11-01,3.02,-0.0736196319018404,-0.5144694533762058,2006-11,2.1571000000000002,0.004479223719485503,-0.023952109355734108
2006-12-01,3.14,0.039735099337748325,-0.44815465729349735,2006-12,2.14912,-0.003699411246581241,-0.059335097387740565
2007-01-01,2.99,-0.047770700636942665,-0.475438596491228,2007-01,2.137677272727273,-0.005324378011803521,-0.05956306554016888
2007-02-01,3.02,0.010033444816053505,-0.4519056261343013,2007-02,2.09545,-0.019753810954540763,-0.030388018570598585
2007-03-01,2.96,-0.019867549668874163,-0.443609022556391,2007-03,2.087877272727273,-0.0036138907025827782,-0.029418346964787956
2007-04-01,3.0,0.013513513513513598,-0.3520518358531317,2007-04,2.031235,-0.027129119832452808,-0.04569151823933515
2007-05-01,3.18,0.06000000000000005,-0.24822695035460995,2007-05,1.9808136363636364,-0.02482300848319552,-0.09024312847855753
2007-06-01,3.69,0.1603773584905659,-0.08436724565756826,2007-06,1.93107,-0.0251127291585872,-0.1407883501810484
2007-07-01,3.74,0.013550135501354976,-0.057934508816120944,2007-07,1.882018181818182,-0.02540136721186592,-0.14003447013297288
2007-08-01,4.18,0.11764705882352922,0.08854166666666674,2007-08,1.9652130434782609,0.04420513173773166,-0.08810314948080256
2007-09-01,4.15,-0.007177033492822837,0.12162162162162171,2007-09,1.898778947368421,-0.03380503519977518,-0.12415723306245274
2007-10-01,4.12,-0.0072289156626507145,0.2638036809815951,2007-10,1.800240909090909,-0.051895476518780126,-0.16169644853196563
2007-11-01,4.19,0.016990291262136026,0.38741721854304645,2007-11,1.769125,-0.017284302858455725,-0.17985953363311857
2007-12-01,4.46,0.06443914081145574,0.42038216560509545,2007-12,1.7851849999999998,0.009077934006924249,-0.1693414048540799
2008-01-01,4.56,0.022421524663676973,0.5250836120401334,2008-01,1.773459090909091,-0.006568455981261767,-0.17038034059907836
2008-02-01,4.61,0.010964912280701844,0.5264900662251657,2008-02,1.726942105263158,-0.026229522792142967,-0.17586098200235845
2008-03-01,4.73,0.026030368763557465,0.597972972972973,2008-03,1.7067799999999997,-0.011675032533928431,-0.1825285794837299
2008-04-01,5.04,0.06553911205073981,0.6799999999999999,2008-04,1.6881285714285714,-0.010927845751314336,-0.16891518143958162
2008-05-01,5.58,0.1071428571428572,0.7547169811320753,2008-05,1.659735,-0.016819555044047085,-0.16209431845040723
2008-06-01,6.06,0.08602150537634401,0.6422764227642275,2008-06,1.6180571428571429,-0.025111151565073375,-0.1620929625248475
